PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Afghanistan,,2020-08-01,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-02,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-03,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-04,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-05,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-06,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-07,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-08,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-09,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-10,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-11,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-12,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-13,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-14,5,4,1,5,2,3,2,0,0,0,0,1
0,Afghanistan,,2020-08-15,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-16,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-17,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-18,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-19,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-20,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-21,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-22,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-23,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-24,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-25,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-26,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-27,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-28,0,0,0,2,1,0,2,1,0,0,1,2
0,Afghanistan,,2020-08-29,1,0,1,3,1,0,1,2,3,0,1,2
0,Afghanistan,,2020-08-30,1,0,1,3,1,0,1,2,3,0,1,2
0,Afghanistan,,2020-08-31,1,0,1,3,1,0,1,2,3,0,1,2
