PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Albania,,2020-08-01,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-02,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-03,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-04,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-05,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-06,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-07,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-08,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-09,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-10,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-11,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-12,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-13,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-14,2,4,2,1,3,0,1,0,0,0,4,0
0,Albania,,2020-08-15,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-16,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-17,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-18,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-19,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-20,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-21,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-22,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-23,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-24,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-25,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-26,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-27,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-28,5,2,4,4,2,2,2,3,1,2,1,1
0,Albania,,2020-08-29,3,1,0,1,1,1,1,1,1,1,1,1
0,Albania,,2020-08-30,3,1,0,1,1,1,1,1,1,1,1,1
0,Albania,,2020-08-31,3,1,0,1,1,1,1,1,1,1,1,1
