PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Algeria,,2020-08-01,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-02,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-03,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-04,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-05,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-06,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-07,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-08,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-09,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-10,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-11,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-12,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-13,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-14,3,5,2,1,3,2,0,5,4,3,1,1
0,Algeria,,2020-08-15,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-16,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-17,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-18,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-19,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-20,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-21,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-22,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-23,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-24,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-25,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-26,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-27,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-28,5,5,3,0,4,1,1,3,2,1,4,2
0,Algeria,,2020-08-29,3,4,0,5,3,3,4,5,5,1,3,2
0,Algeria,,2020-08-30,3,4,0,5,3,3,4,5,5,1,3,2
0,Algeria,,2020-08-31,3,4,0,5,3,3,4,5,5,1,3,2
