PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Argentina,,2020-06-01,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-02,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-03,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-04,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-05,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-06,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-07,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-08,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-09,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-10,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-11,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-12,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-13,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-14,5,5,5,5,5,5,5,5,5,5,5,5
0,Argentina,,2020-06-15,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-16,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-17,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-18,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-19,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-20,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-21,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-22,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-23,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-24,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-25,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-26,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-27,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-28,4,5,5,5,5,1,2,5,0,0,1,2
0,Argentina,,2020-06-29,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-06-30,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-01,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-02,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-03,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-04,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-05,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-06,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-07,0,4,1,2,4,2,4,3,0,1,2,2
0,Argentina,,2020-07-08,0,4,1,2,4,2,4,3,0,1,2,2
