PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Australia,,2020-08-01,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-02,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-03,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-04,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-05,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-06,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-07,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-08,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-09,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-10,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-11,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-12,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-13,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-14,5,5,0,3,4,0,3,1,4,3,4,3
0,Australia,,2020-08-15,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-16,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-17,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-18,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-19,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-20,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-21,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-22,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-23,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-24,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-25,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-26,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-27,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-28,1,5,3,3,0,2,2,2,0,2,5,0
0,Australia,,2020-08-29,4,1,2,3,5,5,1,3,1,4,5,3
0,Australia,,2020-08-30,4,1,2,3,5,5,1,3,1,4,5,3
0,Australia,,2020-08-31,4,1,2,3,5,5,1,3,1,4,5,3
