PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Austria,,2020-08-01,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-02,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-03,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-04,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-05,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-06,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-07,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-08,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-09,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-10,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-11,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-12,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-13,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-14,4,5,0,1,0,2,2,0,3,1,1,0
0,Austria,,2020-08-15,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-16,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-17,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-18,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-19,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-20,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-21,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-22,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-23,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-24,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-25,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-26,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-27,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-28,2,5,0,0,2,0,2,4,1,1,0,2
0,Austria,,2020-08-29,2,1,0,1,4,4,4,5,4,2,1,1
0,Austria,,2020-08-30,2,1,0,1,4,4,4,5,4,2,1,1
0,Austria,,2020-08-31,2,1,0,1,4,4,4,5,4,2,1,1
