PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Azerbaijan,,2020-08-01,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-02,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-03,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-04,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-05,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-06,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-07,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-08,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-09,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-10,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-11,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-12,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-13,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-14,5,5,3,3,4,4,2,0,3,5,5,1
0,Azerbaijan,,2020-08-15,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-16,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-17,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-18,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-19,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-20,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-21,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-22,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-23,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-24,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-25,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-26,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-27,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-28,4,5,3,0,4,3,3,0,1,2,5,1
0,Azerbaijan,,2020-08-29,1,5,4,4,4,5,1,0,2,4,2,2
0,Azerbaijan,,2020-08-30,1,5,4,4,4,5,1,0,2,4,2,2
0,Azerbaijan,,2020-08-31,1,5,4,4,4,5,1,0,2,4,2,2
