PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Afghanistan,,2021-01-01,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-02,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-03,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-04,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-05,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-06,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-07,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-08,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-09,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-10,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-11,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-12,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-13,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-14,5,5,5,5,5,5,5,5,5,5,5,5
0,Afghanistan,,2021-01-15,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-16,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-17,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-18,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-19,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-20,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-21,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-22,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-23,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-24,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-25,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-26,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-27,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-28,5,5,5,5,5,0,5,5,5,5,3,5
0,Afghanistan,,2021-01-29,5,5,5,5,5,5,5,5,5,5,1,5
0,Afghanistan,,2021-01-30,5,5,5,5,5,5,5,5,5,5,1,5
0,Afghanistan,,2021-01-31,5,5,5,5,5,5,5,5,5,5,1,5
0,Afghanistan,,2021-02-01,5,5,5,5,5,5,5,5,5,5,1,5
